"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000164114.19","ENSG00000164114","turquoise",-0.341166086465925,-0.210767219202401,"MAP9","protein_coding"
"ENSG00000272502.1","ENSG00000272502","yellow",0.564704266200226,0.397033720504938,"AC104958.2","lncRNA"
"ENSG00000122224.18","ENSG00000122224","purple",-0.52427620557735,-0.464345239399531,"LY9","protein_coding"
"ENSG00000104951.16","ENSG00000104951","blue",0.112374739496821,0.0961350545249734,"IL4I1","protein_coding"
"ENSG00000146267.12","ENSG00000146267","turquoise",-0.275942830317129,-0.269163186474966,"FAXC","protein_coding"
"ENSG00000168772.11","ENSG00000168772","yellow",0.0366633357626188,0.00554618528574221,"CXXC4","protein_coding"
"ENSG00000227121.2","ENSG00000227121","grey",0.156279654688487,0.201139101051052,"LINC02672","lncRNA"
"ENSG00000144366.16","ENSG00000144366","turquoise",-0.289351352758247,-0.247471197579967,"GULP1","protein_coding"
"ENSG00000271375.1","ENSG00000271375","purple",-0.315245973088303,-0.359473621395275,"AC134879.2","processed_pseudogene"
"ENSG00000104783.14","ENSG00000104783","royalblue",0.486794420939113,0.237689177910455,"KCNN4","protein_coding"
"ENSG00000163531.15","ENSG00000163531","turquoise",-0.284399993563702,-0.355680400766105,"NFASC","protein_coding"
"ENSG00000144485.11","ENSG00000144485","red",0.418965826084939,0.320801477664866,"HES6","protein_coding"
"ENSG00000135324.6","ENSG00000135324","cyan",-0.175323311053622,-0.147815201427504,"MRAP2","protein_coding"
"ENSG00000165272.16","ENSG00000165272","cyan",-0.0167288086182238,-0.0415292052606519,"AQP3","protein_coding"
"ENSG00000124939.6","ENSG00000124939","cyan",-0.425800942069614,-0.488158163400479,"SCGB2A1","protein_coding"
"ENSG00000165810.17","ENSG00000165810","lightcyan",0.133956212373704,0.18648209780875,"BTNL9","protein_coding"
"ENSG00000240204.3","ENSG00000240204","grey",0.460886059590267,0.442334944785284,"SMKR1","protein_coding"
"ENSG00000166250.12","ENSG00000166250","turquoise",-0.428819234583068,-0.377425097122102,"CLMP","protein_coding"
"ENSG00000075073.15","ENSG00000075073","turquoise",-0.363779281953769,-0.48326864631026,"TACR2","protein_coding"
