"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID","ensembl_clean","gene_name","gene_type","DEG_strict","DEG_loose","DEG_Group"
14650.2029669373,-2.51601997754818,0.457583975460801,-5.49848795516598,3.83061700170543e-08,1.01999089114862e-07,"ENSG00000016490.16","ENSG00000016490","CLCA1","protein_coding",TRUE,TRUE,"Down"
3934.65191329649,-5.43006096335566,0.438504361900101,-12.3831401353146,3.22474185672414e-35,6.63731078299783e-34,"ENSG00000016602.9","ENSG00000016602","CLCA4","protein_coding",TRUE,TRUE,"Down"
28.6352806974911,-1.69297634723643,0.278898383968289,-6.07022645003537,1.27730012326159e-09,3.92953587153663e-09,"ENSG00000017427.17","ENSG00000017427","IGF1","protein_coding",TRUE,TRUE,"Down"
2801.85966227197,1.96277766667013,0.230219708197554,8.52567176823039,1.51925507344099e-17,9.30895292638677e-17,"ENSG00000017483.15","ENSG00000017483","SLC38A5","protein_coding",TRUE,TRUE,"Up"
62.9008689945513,-2.55171257611123,0.335958012535311,-7.59533180011007,3.07004768433031e-14,1.43325903034473e-13,"ENSG00000018236.15","ENSG00000018236","CNTN1","protein_coding",TRUE,TRUE,"Down"
338.204359841359,2.42878794830926,0.220027504326212,11.0385651818708,2.48977081717548e-28,3.27649929636598e-27,"ENSG00000018280.17","ENSG00000018280","SLC11A1","protein_coding",TRUE,TRUE,"Up"
180.994918032044,-4.80641987781311,0.348923006829998,-13.7750156445112,3.60305026599189e-43,1.2217047896132e-41,"ENSG00000018625.15","ENSG00000018625","ATP1A2","protein_coding",TRUE,TRUE,"Down"
1312.5794006346,-2.82424656911749,0.322703276090599,-8.75183730184564,2.09906881176743e-18,1.35869105101548e-17,"ENSG00000019102.12","ENSG00000019102","VSIG2","protein_coding",TRUE,TRUE,"Down"
36.693396651559,2.10704723677598,0.371562304583354,5.67077771556694,1.42150736453578e-08,3.95192521344403e-08,"ENSG00000019186.10","ENSG00000019186","CYP24A1","protein_coding",TRUE,TRUE,"Up"
280.872752888361,2.51943931660347,0.369370972191311,6.82089147844177,9.04772726014817e-12,3.38104590591044e-11,"ENSG00000021826.17","ENSG00000021826","CPS1","protein_coding",TRUE,TRUE,"Up"
1365.77772028667,-3.29065290204003,0.209755386404314,-15.6880495821791,1.82579770835552e-55,1.28265022242077e-53,"ENSG00000022267.19","ENSG00000022267","FHL1","protein_coding",TRUE,TRUE,"Down"
247.804694869194,3.40403386397811,0.292481618984265,11.6384539849024,2.62734879567864e-31,4.14023587251872e-30,"ENSG00000023839.12","ENSG00000023839","ABCC2","protein_coding",TRUE,TRUE,"Up"
921.44688753203,-1.51349905779176,0.151702428862254,-9.97676219914726,1.926508321858e-23,1.80597647878849e-22,"ENSG00000023902.14","ENSG00000023902","PLEKHO1","protein_coding",TRUE,TRUE,"Down"
3039.6323121093,1.70555784497695,0.112709481509465,15.1323368906964,9.91123794630017e-52,5.60379005233704e-50,"ENSG00000025772.8","ENSG00000025772","TOMM34","protein_coding",TRUE,TRUE,"Up"
101.259915828825,1.95983781261505,0.191743644452388,10.2211357159308,1.59461520457258e-24,1.62466570386848e-23,"ENSG00000026036.22","ENSG00000026036","RTEL1-TNFRSF6B","protein_coding",TRUE,TRUE,"Up"
590.533171365115,-1.80351193118893,0.223441036330845,-8.07153404228979,6.94203604956169e-16,3.72997329670061e-15,"ENSG00000026751.17","ENSG00000026751","SLAMF7","protein_coding",TRUE,TRUE,"Down"
892.241653570975,2.40834502129549,0.141386447773795,17.0337755790329,4.61295655152895e-65,5.2799225621988e-63,"ENSG00000029153.14","ENSG00000029153","ARNTL2","protein_coding",TRUE,TRUE,"Up"
34.4276469476454,6.53150435844073,0.460759550494118,14.1755159528139,1.29885003612227e-45,5.23646344460015e-44,"ENSG00000029559.7","ENSG00000029559","IBSP","protein_coding",TRUE,TRUE,"Up"
20.9059479374651,-3.62025589536268,0.327390084423742,-11.0579277369835,2.00680407303677e-28,2.66182310739031e-27,"ENSG00000030304.14","ENSG00000030304","MUSK","protein_coding",TRUE,TRUE,"Down"
4.56850335391828,-1.50821568073446,0.246977227894087,-6.10669936493596,1.01712565273589e-09,3.16187550553721e-09,"ENSG00000034239.11","ENSG00000034239","EFCAB1","protein_coding",TRUE,TRUE,"Down"
23.2427227906428,-4.86919301952594,0.560574268405417,-8.68608013952658,3.75160293997421e-18,2.37976781247783e-17,"ENSG00000034971.17","ENSG00000034971","MYOC","protein_coding",TRUE,TRUE,"Down"
20.8862127490054,-2.29890723961863,0.250658347305306,-9.17147689008945,4.66582122734617e-20,3.43840544216239e-19,"ENSG00000035720.8","ENSG00000035720","STAP1","protein_coding",TRUE,TRUE,"Down"
186.293027253442,-4.18587773684333,0.205289814312118,-20.3900897415164,2.04770042485604e-92,7.39188350289571e-90,"ENSG00000036672.16","ENSG00000036672","USP2","protein_coding",TRUE,TRUE,"Down"
4.35918867254088,-3.1252864703942,0.345220974404461,-9.05300286515214,1.39089646146704e-19,9.83900951819799e-19,"ENSG00000036828.17","ENSG00000036828","CASR","protein_coding",TRUE,TRUE,"Down"
14.8482491215581,1.71232829261483,0.394329173139983,4.34238298673117,1.40945556763503e-05,2.91378550123245e-05,"ENSG00000037965.6","ENSG00000037965","HOXC8","protein_coding",TRUE,TRUE,"Up"
32.5324911022556,-2.275548569976,0.272186211960882,-8.36026392954481,6.25780994527536e-17,3.6471250013895e-16,"ENSG00000038295.8","ENSG00000038295","TLL1","protein_coding",TRUE,TRUE,"Down"
3546.60645026709,1.5353220182163,0.220473053412422,6.96376266601749,3.31302568892827e-12,1.29152408647637e-11,"ENSG00000038427.16","ENSG00000038427","VCAN","protein_coding",TRUE,TRUE,"Up"
58.3606532177377,2.4364975460264,0.219666202650954,11.0918180249055,1.37465210242629e-28,1.84313353893318e-27,"ENSG00000039139.9","ENSG00000039139","DNAH5","protein_coding",TRUE,TRUE,"Up"
17.0128547455877,-1.59106514642704,0.334378038314723,-4.75828243519239,1.95247182661166e-06,4.40677173332204e-06,"ENSG00000039537.14","ENSG00000039537","C6","protein_coding",TRUE,TRUE,"Down"
192.235789950067,-3.79498653843837,0.378521776290431,-10.0258076975909,1.17395777530055e-23,1.12156943158193e-22,"ENSG00000039987.7","ENSG00000039987","BEST2","protein_coding",TRUE,TRUE,"Down"
848.273866627279,-2.70198241086374,0.116319117556719,-23.2290483939256,2.31692698933484e-119,1.9415848170626e-116,"ENSG00000040199.18","ENSG00000040199","PHLPP2","protein_coding",TRUE,TRUE,"Down"
300.580721645354,1.56806003602022,0.175854335987058,8.91681190127504,4.79903807624286e-19,3.26106659197691e-18,"ENSG00000040608.14","ENSG00000040608","RTN4R","protein_coding",TRUE,TRUE,"Up"
4269.82724960866,-1.94776288304118,0.0960213665720562,-20.2846819679404,1.7559483697671e-91,6.14948844003214e-89,"ENSG00000042445.14","ENSG00000042445","RETSAT","protein_coding",TRUE,TRUE,"Down"
12.4898369089582,1.51513634101615,0.272538128748905,5.55935548530927,2.70772691079415e-08,7.32719458365518e-08,"ENSG00000042781.14","ENSG00000042781","USH2A","protein_coding",TRUE,TRUE,"Up"
